Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,altura,SAND,SILT,CLAY,KA5,SOC,BD
Boosen,60,1,464205,5805335,73.93274689,7393,52.69975281,73.0208925,21.59767803,5.38142947,SL2,0.793496579,1.383833883
Boosen,61,1,464215,5805335,75.78059387,7578,52.65293503,72.64492459,20.78752127,6.567554142,SL2,0.788332766,1.383638936
Boosen,62,1,464225,5805335,75.61210632,7561,52.56830597,75.36388005,19.55312805,5.082991897,SL2,0.825265578,1.381464455
Boosen,63,1,464235,5805335,70.67732239,7068,52.47052002,75.91993118,19.48653713,4.593531684,SL2,0.826497557,1.382024135
Boosen,64,1,464245,5805335,65.77579498,6578,52.33621597,75.67080795,19.54452756,4.784664498,SL2,0.848246048,1.378608145
Boosen,65,1,464255,5805335,55.63272476,5563,52.18493271,73.56375737,20.01564695,6.420595681,SL2,0.848972582,1.375829635
Boosen,66,1,464265,5805335,58.09703445,5810,52.03720474,75.56226707,19.4746798,4.963053125,SL2,1.010046035,1.35583377
Boosen,67,1,464185,5805325,69.06452942,6906,53.02112961,76.14675074,18.92238286,4.930866398,SL2,0.780112604,1.388712616
Boosen,68,1,464195,5805325,67.33600616,6734,53.01464081,73.50627122,21.25206122,5.241667558,SL2,0.770865825,1.387595657
Boosen,69,1,464205,5805325,70.17142487,7017,52.99926376,75.92740325,19.34672533,4.725871416,SL2,0.76934651,1.390185256
Boosen,70,1,464215,5805325,71.21621704,7122,52.96137619,76.00075606,19.24742595,4.751817994,SL2,0.786216771,1.387796991
Boosen,71,1,464225,5805325,74.65068054,7465,52.90126038,77.05614892,19.09483474,3.849016336,SU2,0.837169074,1.381872161
Boosen,72,1,464235,5805325,70.15419769,7015,52.80148315,76.55852709,19.390536,4.050936913,SU2,0.828808098,1.382528907
Boosen,73,1,464245,5805325,66.69874573,6670,52.658638,76.22663822,18.99166274,4.781699047,SL2,0.850741705,1.378737691
Boosen,74,1,464255,5805325,54.96068573,5496,52.52035141,75.46487856,18.88537417,5.649747266,SL2,0.816636786,1.382494465
Boosen,75,1,464265,5805325,61.13306808,6113,52.39697266,75.23259415,17.90703389,6.860371962,SL2,0.98473774,1.358045448
Boosen,76,1,464175,5805315,65.60412598,6560,53.31578064,81.98261418,13.85683385,4.160551974,SU2,0.784688095,1.39351934
Boosen,77,1,464185,5805315,62.66171646,6266,53.3087883,78.9298333,16.18170032,4.888466384,SL2,0.789300371,1.389826206
Boosen,78,1,464195,5805315,64.42417145,6442,53.29427719,76.30566353,18.99592782,4.698408649,SL2,0.779234128,1.389097633
Boosen,79,1,464205,5805315,66.25868225,6626,53.2696228,77.12813659,19.00397683,3.867886586,SU2,0.765613822,1.392212236
Boosen,80,1,464215,5805315,65.80895996,6581,53.24967957,79.70704207,16.52946916,3.763488779,SU2,0.772392221,1.393524645
Boosen,81,1,464225,5805315,66.186203,6619,53.2001915,79.94708254,16.49291923,3.559998226,SU2,0.816654992,1.387464694
Boosen,82,1,464235,5805315,63.497509,6350,53.08664322,79.70716374,16.55702132,3.735814945,SU2,0.83190631,1.384984403
Boosen,83,1,464245,5805315,63.61159134,6361,52.95032883,75.81663485,20.22488229,3.958482861,SU2,0.800012749,1.386059553
Boosen,84,1,464255,5805315,51.34221649,5134,52.82676315,76.01099503,19.07179322,4.917211754,SL2,0.801987708,1.38544935
Boosen,85,1,464265,5805315,52.35523605,5236,52.74149323,76.14472412,18.99317915,4.862096737,SL2,0.930705534,1.367362974
Boosen,86,1,464275,5805315,52.5841217,5258,52.74829102,76.16937319,18.91262387,4.91800294,SL2,1.054598505,1.35031112
Boosen,87,1,464175,5805305,62.40710068,6241,53.62438583,82.27881432,13.62269329,4.098492389,SU2,0.778634088,1.394683018
Boosen,88,1,464185,5805305,58.05366516,5805,53.61525345,81.87833668,14.63281889,3.48884443,SU2,0.790126372,1.392991265
Boosen,89,1,464195,5805305,59.56143951,5956,53.58611298,79.86683733,15.27240283,4.86075984,SL2,0.787431483,1.390923978
Boosen,90,1,464205,5805305,60.13283539,6013,53.56074905,80.89033889,15.30582887,3.803832242,SU2,0.772808958,1.394471431
Boosen,91,1,464215,5805305,62.65943146,6266,53.55157089,80.61430793,15.51185585,3.873836212,SU2,0.777506402,1.393516069
Boosen,92,1,464225,5805305,60.87381363,6087,53.5123024,80.04812092,16.3122991,3.639579976,SU2,0.801160945,1.389735025
Boosen,93,1,464235,5805305,58.29338837,5829,53.38953781,79.96004836,16.24161512,3.798336522,SU2,0.807197202,1.388709287
Boosen,94,1,464245,5805305,57.47265625,5747,53.22968674,80.30867082,15.87002295,3.821306232,SU2,0.79271351,1.391083217
Boosen,95,1,464255,5805305,47.96907043,4797,53.10393906,80.68028319,15.39755888,3.922157938,SU2,0.809503568,1.388939969
Boosen,96,1,464265,5805305,54.62615585,5463,53.05683517,75.70962252,20.42461553,3.865761953,SU2,0.919488051,1.369066888
Boosen,97,1,464275,5805305,50.14562607,5015,53.13046646,76.0632946,19.21702336,4.719682032,SL2,1.009361502,1.356488491
Boosen,98,1,464175,5805295,56.69482803,5669,53.94081497,81.45527837,14.72949657,3.815225058,SU2,0.788305336,1.392717749
Boosen,99,1,464185,5805295,55.14291,5514,53.96366501,81.36286251,14.8186992,3.818438285,SU2,0.784899017,1.39312719
Boosen,100,1,464195,5805295,55.16620255,5517,53.9396286,80.50515027,14.74762984,4.747219895,SL2,0.803568117,1.389214071
Boosen,101,1,464205,5805295,57.11643982,5712,53.91374207,81.2545413,14.00747889,4.737979813,SL2,0.76807079,1.394991478
Boosen,102,1,464215,5805295,57.74170303,5774,53.90947723,81.28980705,14.66367002,4.046522927,SU2,0.748026491,1.398289776
Boosen,103,1,464225,5805295,56.32983017,5633,53.83705902,80.0525074,16.31548629,3.632006307,SU2,0.833796613,1.385068212
Boosen,104,1,464235,5805295,54.35403824,5435,53.69882202,80.08595883,16.24666747,3.667373693,SU2,0.831894893,1.385350435
Boosen,105,1,464245,5805295,55.11325836,5511,53.51159286,80.70803521,15.415441,3.876523787,SU2,0.817860354,1.387789623
Boosen,106,1,464255,5805295,44.25712967,4426,53.36922836,81.14329176,14.96300638,3.893701862,SU2,0.813805729,1.388739838
Boosen,107,1,464265,5805295,53.14029694,5314,53.34666061,80.51725906,15.56466306,3.918077873,SU2,0.907680416,1.374870487
Boosen,108,1,464275,5805295,53.85424042,5385,53.46730042,75.14249793,20.94408375,3.913418328,SU2,1.016947579,1.355066258
Boosen,109,1,464165,5805285,56.8144722,5681,54.16386032,82.2175855,13.94597946,3.836435035,SU2,0.762904505,1.397042534
Boosen,110,1,464175,5805285,53.1452713,5315,54.28818893,81.22769068,14.2843269,4.487982424,SU2,0.78534479,1.392599686
Boosen,111,1,464185,5805285,54.4622345,5446,54.34844589,80.78538188,15.40874217,3.805875949,SU2,0.780950363,1.393202119
Boosen,112,1,464195,5805285,54.1908989,5419,54.35441971,81.23196422,13.96112048,4.8069153,SL2,0.790530378,1.39169088
Boosen,113,1,464205,5805285,53.12568665,5313,54.34902954,81.33484867,14.02333923,4.641812097,SL2,0.73979826,1.399220198
Boosen,114,1,464215,5805285,52.87637711,5288,54.32603455,81.30578258,14.64336729,4.050850128,SU2,0.656674519,1.411737992
Boosen,115,1,464225,5805285,52.33189011,5233,54.22683334,80.62018804,15.90426125,3.475550705,SU2,0.837035879,1.385180091
Boosen,116,1,464235,5805285,52.85450363,5285,54.04797745,80.57866938,15.78678744,3.634543176,SU2,0.826057633,1.386629287
Boosen,117,1,464245,5805285,54.4915123,5449,53.82065582,80.8855887,15.30818683,3.806224464,SU2,0.818070629,1.387950051
Boosen,118,1,464255,5805285,46.34051132,4634,53.64862823,81.3735074,14.78678396,3.839708645,SU2,0.813522478,1.389008315
Boosen,119,1,464265,5805285,51.98683548,5199,53.61719513,80.694766,15.40340848,3.901825523,SU2,0.931410373,1.37171313
Boosen,120,1,464275,5805285,51.37902069,5138,53.78443909,75.27375342,20.09881329,4.627433288,SL2,1.006100449,1.356297318
Boosen,121,1,464165,5805275,55.43685532,5544,54.47718811,81.72663178,13.77085825,4.502509967,SL2,0.788436662,1.392579623
Boosen,122,1,464175,5805275,52.23992538,5224,54.68598175,81.13400549,13.75141313,5.114581385,SL2,0.805387404,1.389309287
Boosen,123,1,464185,5805275,51.49557877,5150,54.80838394,80.98959214,14.54248537,4.467922496,SU2,0.787631162,1.392073377
Boosen,124,1,464195,5805275,50.96578598,5097,54.8245697,81.59784649,14.63346979,3.768683714,SU2,0.836159058,1.386003047
Boosen,125,1,464205,5805275,52.13711548,5214,54.83250046,81.49812804,14.67247678,3.829395177,SU2,0.821831055,1.387931886
Boosen,126,1,464215,5805275,50.83176804,5083,54.82425308,80.75551722,15.52368652,3.720796253,SU2,0.811247732,1.388859076
