Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,15,2,464225,5805395,77.94815063,7795,50.0160141,73.42585012,19.7606818,6.813468079,30,60,30,SL2,0.141635618,1.484747167
Boosen,15,3,464225,5805395,77.94815063,7795,50.0160141,73.79841888,17.17906408,9.022517035,60,90,30,SL3,0.072623285,1.495572421
Boosen,15,4,464225,5805395,77.94815063,7795,50.0160141,73.79841888,17.17906408,9.022517035,90,200,110,SL3,0.072623285,1.495572421
Boosen,16,1,464235,5805395,69.63484192,6963,49.90029907,71.01083374,21.99697162,6.992194647,0,30,30,SL2,0.881788634,1.368667945
Boosen,16,2,464235,5805395,69.63484192,6963,49.90029907,71.15164635,20.5204463,8.327907342,30,60,30,SL3,0.258377222,1.462711742
Boosen,16,3,464235,5805395,69.63484192,6963,49.90029907,68.14614473,18.98565975,12.86819552,60,90,30,SL4,0.099213583,1.484168677
Boosen,16,4,464235,5805395,69.63484192,6963,49.90029907,68.14614473,18.98565975,12.86819552,90,200,110,SL4,0.099213583,1.484168677
Boosen,17,1,464245,5805395,57.63739777,5764,49.84781647,70.37414665,21.74992157,7.875931773,0,30,30,SL3,0.90034952,1.365044636
Boosen,17,2,464245,5805395,57.63739777,5764,49.84781647,70.49374948,20.31948349,9.186767029,30,60,30,SL3,0.318965651,1.451894118
Boosen,17,3,464245,5805395,57.63739777,5764,49.84781647,67.08882484,19.37128516,13.53989,60,90,30,SL4,0.207570505,1.464817037
Boosen,17,4,464245,5805395,57.63739777,5764,49.84781647,67.08882484,19.37128516,13.53989,90,200,110,SL4,0.207570505,1.464817037
Boosen,18,1,464255,5805395,57.91129684,5791,49.90599442,69.20005331,21.86700784,8.932938847,0,30,30,SL3,0.899898681,1.36354222
Boosen,18,2,464255,5805395,57.91129684,5791,49.90599442,69.30694533,20.45645355,10.23660113,30,60,30,SL3,0.352644815,1.444930932
Boosen,18,3,464255,5805395,57.91129684,5791,49.90599442,65.97707036,20.3657446,13.65718504,60,90,30,SL4,0.298688744,1.448927333
Boosen,18,4,464255,5805395,57.91129684,5791,49.90599442,65.97707036,20.3657446,13.65718504,90,200,110,SL4,0.298688744,1.448927333
Boosen,19,1,464265,5805395,53.37949371,5338,50.05357361,69.60844533,21.43778573,8.953768946,0,30,30,SL3,1.066013233,1.340981543
Boosen,19,2,464265,5805395,53.37949371,5338,50.05357361,69.85156727,19.77630675,10.37212598,30,60,30,SL3,0.25862286,1.46048671
Boosen,19,3,464265,5805395,53.37949371,5338,50.05357361,67.37498292,19.07644138,13.5485757,60,90,30,SL4,0.109967175,1.481332251
Boosen,19,4,464265,5805395,53.37949371,5338,50.05357361,67.37498292,19.07644138,13.5485757,90,200,110,SL4,0.109967175,1.481332251
